MovieTtile,Description,Duration,Genre,DirectorsName,Ratings,Stars,FilmingDate
Reservoir Dogs,"    When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",99 min,"Crime, Drama, Thriller            ",Quentin Tarantino,8.3,"['    Stars:', 'Harvey Keitel, ', 'Tim Roth, ', 'Michael Madsen, ', 'Chris Penn']",(1992)
Amadeus,"    The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",160 min,"Biography, Drama, History            ",Milos Forman,8.3,"['    Stars:', 'F. Murray Abraham, ', 'Tom Hulce, ', 'Elizabeth Berridge, ', 'Roy Dotrice']",(1984)
Dangal,| ,161 min,"Action, Biography, Drama            ","Aamir Khan, ",8.4,"['Fatima Sana Shaikh, ', 'Sanya Malhotra']",(2016)
Good Will Hunting,"    Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126 min,"Drama, Romance            ",Gus Van Sant,8.3,"['    Stars:', 'Robin Williams, ', 'Matt Damon, ', 'Ben Affleck, ', 'Stellan Skarsgård']",(1997)
Inglourious Basterds,"    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153 min,"Adventure, Drama, War            ",Quentin Tarantino,8.3,"['    Stars:', 'Brad Pitt, ', 'Diane Kruger, ', 'Eli Roth, ', 'Mélanie Laurent']",(2009)
M,| ,99 min,"Crime, Mystery, Thriller            ","Peter Lorre, ",8.3,"['Inge Landgut, ', 'Otto Wernicke']",(1931)
Requiem for a Dream,    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,102 min,Drama            ,Darren Aronofsky,8.3,"['    Stars:', 'Ellen Burstyn, ', 'Jared Leto, ', 'Jennifer Connelly, ', 'Marlon Wayans']",(2000)
2001: A Space Odyssey,"    After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",149 min,"Adventure, Sci-Fi            ",Stanley Kubrick,8.3,"['    Stars:', 'Keir Dullea, ', 'Gary Lockwood, ', 'William Sylvester, ', 'Daniel Richter']",(1968)
Vertigo,    A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,128 min,"Mystery, Romance, Thriller            ",Alfred Hitchcock,8.3,"['    Stars:', 'James Stewart, ', 'Kim Novak, ', 'Barbara Bel Geddes, ', 'Tom Helmore']",(1958)
Eternal Sunshine of the Spotless Mind,"    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",108 min,"Drama, Romance, Sci-Fi            ",Michel Gondry,8.3,"['    Stars:', 'Jim Carrey, ', 'Kate Winslet, ', 'Tom Wilkinson, ', 'Gerry Robert Byrne']",(2004)
Citizen Kane,"    Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",119 min,"Drama, Mystery            ",Orson Welles,8.3,"['    Stars:', 'Orson Welles, ', 'Joseph Cotten, ', 'Dorothy Comingore, ', 'Agnes Moorehead']",(1941)
Full Metal Jacket,    A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,116 min,"Drama, War            ",Stanley Kubrick,8.3,"['    Stars:', 'Matthew Modine, ', 'R. Lee Ermey, ', ""Vincent D'Onofrio, "", 'Adam Baldwin']",(1987)
The Hunt,"    A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",115 min,Drama            ,Thomas Vinterberg,8.3,"['    Stars:', 'Mads Mikkelsen, ', 'Thomas Bo Larsen, ', 'Annika Wedderkopp, ', 'Lasse Fogelstrøm']",(2012)
North by Northwest,    A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,136 min,"Adventure, Mystery, Thriller            ",Alfred Hitchcock,8.3,"['    Stars:', 'Cary Grant, ', 'Eva Marie Saint, ', 'James Mason, ', 'Jessie Royce Landis']",(1959)
A Clockwork Orange,"    In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",136 min,"Crime, Drama, Sci-Fi            ",Stanley Kubrick,8.3,"['    Stars:', 'Malcolm McDowell, ', 'Patrick Magee, ', 'Michael Bates, ', 'Warren Clarke']",(1971)
Snatch,"    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",102 min,"Comedy, Crime            ",Guy Ritchie,8.3,"['    Stars:', 'Jason Statham, ', 'Brad Pitt, ', 'Benicio Del Toro, ', 'Dennis Farina']",(2000)
Amélie,"    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",122 min,"Comedy, Romance            ",Jean-Pierre Jeunet,8.3,"['    Stars:', 'Audrey Tautou, ', 'Mathieu Kassovitz, ', 'Rufus, ', 'Lorella Cravotta']",(2001)
The Kid,| ,68 min,"Comedy, Drama, Family            ","Charles Chaplin, ",8.3,"['Jackie Coogan, ', 'Carl Miller']",(1921)
